City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,mangaldai,26.4333,92.0333,21.87,41,0,2.3,IN,1704605076
113,newman,37.3138,-121.0208,7.19,92,83,1.79,US,1704605077
114,mersa matruh,31.3525,27.2453,14.58,43,10,7.45,EG,1704605077
115,tataouine,32.9297,10.4518,8.46,59,7,8.01,TN,1704604867
116,minas de marcona,-15.2119,-75.1103,17.24,87,74,4.88,PE,1704605079
117,luang prabang,19.8856,102.1347,26.98,54,20,2.06,LA,1704605079
118,le port,-20.9373,55.2919,28.0,82,77,1.54,RE,1704605079
119,margate,51.3813,1.3862,4.27,86,100,6.26,GB,1704605080
120,kapuskasing,49.4169,-82.4331,-12.95,85,100,4.12,CA,1704605080
121,dudinka,69.4058,86.1778,-20.77,98,100,8.05,RU,1704604987
122,colonia,50.9333,6.95,2.25,87,100,2.57,DE,1704605081
123,nguigmi,14.2495,13.1092,17.24,26,48,4.97,NE,1704605082
124,qaqortoq,60.7167,-46.0333,0.33,78,100,3.2,GL,1704605082
125,jayapura,-2.5333,140.7,31.66,91,100,1.17,ID,1704604939
126,santa cruz del sur,20.7147,-77.9956,23.75,82,0,2.17,CU,1704605083
127,uxbridge,42.0773,-71.6295,1.4,93,100,4.23,US,1704605083
128,crane,31.3974,-102.3501,5.49,48,0,1.69,US,1704605084
129,launceston,-41.45,147.1667,27.8,47,100,5.14,AU,1704605084
130,talara,-4.5772,-81.2719,23.05,83,79,6.38,PE,1704605085
131,mana,5.6592,-53.7767,24.67,86,91,3.96,GF,1704605085
132,rawai,7.7797,98.3253,30.06,74,19,4.8,TH,1704604880
133,colon,9.3592,-79.9014,23.84,89,95,3.58,PA,1704604857
134,aykhal,66.0,111.5,-24.22,97,100,4.43,RU,1704605086
135,bethel,41.3712,-73.414,1.23,86,100,5.66,US,1704605086
136,zaragoza,41.6561,-0.8773,7.16,73,20,8.75,ES,1704605087
137,hailar,49.2,119.7,-24.33,83,45,4.12,CN,1704605087
138,key west,24.5557,-81.7826,22.22,100,20,0.0,US,1704605088
139,keflavik,64.0049,-22.5624,5.95,100,75,13.89,IS,1704605089
140,chul'man,56.8479,124.9104,-28.55,97,100,0.58,RU,1704605089
141,retreat,38.8245,-85.8533,3.32,99,100,3.34,US,1704605089
142,antsiranana,-12.2787,49.2917,29.42,79,40,3.09,MG,1704605090
143,pushkar,26.5,74.55,15.66,31,0,1.27,IN,1704605091
144,alice springs,-23.7,133.8833,39.75,20,46,6.69,AU,1704605092
145,kapa'a,22.0752,-159.319,23.18,77,0,1.54,US,1704605092
146,la sierpe,2.8518,-77.6155,24.77,94,91,1.15,CO,1704605092
147,nova vicosa,-17.8919,-39.3719,24.64,93,99,3.0,BR,1704605093
148,kolonia,50.9333,6.95,3.1,86,100,2.57,DE,1704604810
149,mountain home,43.133,-115.6912,-0.29,95,100,10.8,US,1704605093
150,pangody,65.85,74.4859,-21.15,95,84,3.5,RU,1704605094
151,kashgar,39.4547,75.9797,-1.44,50,59,1.0,CN,1704605094
152,san antonio de pale,-1.4014,5.6325,27.04,73,63,3.11,GQ,1704605094
153,invercargill,-46.4,168.35,16.12,76,74,5.36,NZ,1704605095
154,rongelap,11.1635,166.8941,27.17,66,100,8.09,MH,1704605095
155,chonchi,-42.6128,-73.8092,11.73,82,94,0.61,CL,1704605095
156,saldanha,-33.0117,17.9442,18.03,89,100,8.33,ZA,1704605096
157,cangzhou,38.3167,116.8667,-2.24,58,1,0.34,CN,1704605096
158,saint-pierre,-21.3393,55.4781,27.82,74,100,6.69,RE,1704605096
159,acarau,-2.8856,-40.12,26.64,81,57,4.94,BR,1704605097
160,fort mcmurray,56.7268,-111.381,-20.23,84,100,5.14,CA,1704605097
161,iqaluit,63.7506,-68.5145,-24.15,77,0,2.57,CA,1704604809
162,selkirk,50.1436,-96.8845,-15.96,89,64,2.76,CA,1704605098
